watched_tv,play_with_pets,code_written,had_coffee,happiness_value
No,Yes,215,Yes,1
Yes,No,603,No,2
No,Yes,1269,Yes,3
Yes,No,471,No,6
No,Yes,182,Yes,1
Yes,No,701,No,2
No,Yes,124,Yes,8
Yes,No,167,No,9
No,Yes,668,Yes,2
Yes,No,983,No,0
No,Yes,220,Yes,9
Yes,No,1069,No,10
No,Yes,599,Yes,6
Yes,No,711,No,6
No,Yes,1496,Yes,0
Yes,No,102,No,10
No,Yes,730,Yes,10
Yes,No,1228,No,2
No,Yes,879,Yes,3
Yes,No,442,No,1
No,Yes,562,Yes,3
Yes,No,286,No,7
No,Yes,284,Yes,6
Yes,No,442,No,6
No,Yes,1421,Yes,5
Yes,No,832,No,10
No,Yes,733,Yes,5
Yes,No,1125,No,10
No,Yes,1450,Yes,6
Yes,No,1412,No,0
No,Yes,577,Yes,5
Yes,No,99,No,0
No,Yes,54,Yes,8
Yes,No,361,No,2
No,Yes,1324,Yes,4
Yes,No,1024,No,5
No,Yes,1391,Yes,2
Yes,No,530,No,7
No,Yes,95,Yes,1
Yes,No,318,No,10
No,Yes,1423,Yes,1
Yes,No,1247,No,4
No,Yes,246,Yes,7
Yes,No,853,No,2
No,Yes,66,Yes,6
Yes,No,1392,No,6
No,Yes,711,Yes,9
Yes,No,991,No,0
No,Yes,462,Yes,8
Yes,No,430,No,6
No,Yes,1279,Yes,8
Yes,No,1302,No,9
No,Yes,499,Yes,9
Yes,No,1276,No,8
No,Yes,63,Yes,2
Yes,No,300,No,4
No,Yes,1059,Yes,10
Yes,No,146,No,6
No,Yes,440,Yes,3
Yes,No,1476,No,7
No,Yes,1075,Yes,9
Yes,No,1070,No,2
No,Yes,1447,Yes,4
Yes,No,1232,No,7
No,Yes,1303,Yes,7
Yes,No,904,No,6
No,Yes,495,Yes,4
Yes,No,1190,No,4
No,Yes,583,Yes,8
Yes,No,433,No,4
No,Yes,579,Yes,2
Yes,No,503,No,2
No,Yes,500,Yes,4
Yes,No,1406,No,5
No,Yes,1237,Yes,3
Yes,No,374,No,2
No,Yes,576,Yes,5
Yes,No,372,No,2
No,Yes,535,Yes,7
Yes,No,765,No,0
No,Yes,994,Yes,8
Yes,No,991,No,4
No,Yes,1475,Yes,6
Yes,No,116,No,10
No,Yes,1295,Yes,4
Yes,No,827,No,9
No,Yes,266,Yes,10
Yes,No,975,No,2
No,Yes,1109,Yes,0
Yes,No,1298,No,5
No,Yes,1405,Yes,3
Yes,No,553,No,7
No,Yes,419,Yes,10
Yes,No,1311,No,0
No,Yes,155,Yes,4
Yes,No,823,No,9
No,Yes,255,Yes,6
Yes,No,76,No,5
No,Yes,614,Yes,6
Yes,No,1063,No,5
No,Yes,81,Yes,0
Yes,No,476,No,7
No,Yes,1438,Yes,6
Yes,No,570,No,5
No,Yes,781,Yes,6
Yes,No,515,No,3
No,Yes,999,Yes,2
Yes,No,1213,No,4
No,Yes,916,Yes,7
Yes,No,1066,No,2
No,Yes,1389,Yes,8
Yes,No,1358,No,9
No,Yes,792,Yes,4
Yes,No,1183,No,9
No,Yes,549,Yes,7
Yes,No,198,No,4
No,Yes,267,Yes,0
Yes,No,1053,No,1
No,Yes,383,Yes,6
Yes,No,304,No,3
No,Yes,317,Yes,5
Yes,No,237,No,8
No,Yes,218,Yes,7
Yes,No,54,No,5
No,Yes,716,Yes,6
Yes,No,597,No,3
No,Yes,1489,Yes,6
Yes,No,651,No,6
No,Yes,39,Yes,0
Yes,No,635,No,9
No,Yes,38,Yes,4
Yes,No,67,No,8
No,Yes,1364,Yes,9
Yes,No,564,No,10
No,Yes,421,Yes,3
Yes,No,1276,No,5
No,Yes,236,Yes,6
Yes,No,1062,No,3
No,Yes,609,Yes,2
Yes,No,864,No,5
No,Yes,12,Yes,0
Yes,No,840,No,4
No,Yes,899,Yes,5
Yes,No,249,No,10
No,Yes,1087,Yes,0
Yes,No,1140,No,4
No,Yes,264,Yes,3
Yes,No,1053,No,9
No,Yes,813,Yes,6
Yes,No,1467,No,9
No,Yes,1116,Yes,10
Yes,No,274,No,1
No,Yes,89,Yes,8
Yes,No,331,No,2
No,Yes,41,Yes,8
Yes,No,641,No,7
No,Yes,1035,Yes,10
Yes,No,526,No,4
No,Yes,674,Yes,2
Yes,No,249,No,10
No,Yes,212,Yes,5
Yes,No,1172,No,1
No,Yes,755,Yes,0
Yes,No,1094,No,1
No,Yes,232,Yes,8
Yes,No,104,No,0
No,Yes,1197,Yes,0
Yes,No,123,No,3
No,Yes,10,Yes,10
Yes,No,305,No,1
No,Yes,543,Yes,1
Yes,No,297,No,3
No,Yes,1228,Yes,7
Yes,No,545,No,3
No,Yes,1158,Yes,7
Yes,No,1227,No,8
No,Yes,1239,Yes,0
